Month,Lat,Lon,SST,Chla,SSH,SOI,SSS,DO,BT,QPS,EPS
11,29.75,122.5,20.26467,8.35084,0.0467,0.5,28.954,7.582,21.73,0.062964149,0.356910873
11,29.75,122.75,21.05065,2.5859447,0.1141,0.5,29.102,7.619,21.879,0.085605312,0.151358872
11,29.75,123,21.668,1.9716916,0.1229,0.5,33.76,7.088,21.982,0.106567179,0.101738991
11,29.75,123.25,21.83767,1.4763322,0.1442,0.5,33.695,6.984,21.589,0.099465857,0.072868637
11,29.75,122.25,19.892,11.697285,-0.0815,0.5,33.48,7.103,21.5855,0.018659526,0.018837639
11,29.5,122.75,21.2433,2.4591866,0.0798,0.5,33.265,7.222,21.582,0.069102843,0.071697164
11,29.5,123,21.749,1.2754238,0.1078,0.5,33.516,7.505,21.663,0.121877843,0.471298837
11,29.5,123.25,21.92834,0.8039069,0.1374,0.5,33.61,7.13,21.582,0.154306703,0.069853556
11,29.25,122.25,19.74932,7.9983435,-0.0516,0.5,27.406,7.822,20.699,0.019715124,0.003793675
11,29.25,122.75,21.55233,1.9802072,0.0768,0.5,33.426,7.456,21.808,0.145723031,0.29441329
11,29.25,123,21.96667,0.84642756,0.0983,0.5,33.423,7.28,21.132,0.219917933,0.460701741
11,29.25,123.25,22.1273,0.76753676,0.1248,0.5,33.697,7.127,21.772,0.200178319,0.114311689
11,29,122.5,21.09167,2.6209295,0.0449,0.5,33.669,7.318,20.281,0.080177634,0.318057126
11,29,122.75,21.90298,1.1155299,0.0943,0.5,33.552,7.343,19.765,0.135107198,0.936520032
11,29,122.25,20.131,3.4479108,-0.0313,0.5,28.403,7.817,22.055,0.03250864,0.295213968
11,28.75,122,19.60665,4.160921,-0.0281,0.5,27.859,7.813,20.276,0.002412529,0.002837914
11,28.75,122.5,21.47732,2.142251,0.0894,0.5,33.591,7.353,19.934,0.128477811,0.412688303
11,28.75,122.75,22.13632,0.9311281,0.1224,0.5,33.558,7.076,20.02,0.143707017,0.68089446
11,28.5,121.75,19.183,11.004607,0.0097,0.5,27.487,7.736,17.977,4.11E-05,0.005833204
11,28.5,122,19.983,3.945025,0.0221,0.5,28.21,7.226,21.934,0.008200043,0.050736278
11,28.5,122.5,21.99734,1.192273,0.1413,0.5,32.977,6.648,22.09,0.146430288,0.526884388
11,28.5,122.75,22.43466,0.46866763,0.1516,0.5,33.536,6.83,19.242,0.203882266,0.819412248
11,28.25,122,20.656,2.787178,0.1075,0.5,32.627,6.964,22.584,0.084819661,0.237492864
11,28.25,122.25,21.80032,2.1616967,0.1129,0.5,32.736,6.898,20.973,0.069712758,0.298330508
11,28.25,122.5,22.4333,0.8810856,0.1558,0.5,33.899,6.662,19.616,0.203173141,0.419750395
11,28,121.5,19.596,9.34061,0.1163,0.5,27.109,7.489,20.26,0,0.056977121
11,28,121.75,20.49667,3.922522,0.1178,0.5,29.83,7.035,22.413,0.158461385,0.241656705
11,28,122,21.616,2.2729049,0.1339,0.5,33.23,6.586,21.278,0.087884871,0.230255718
11,28,122.25,22.35534,1.2288048,0.1602,0.5,32.825,6.645,19.339,0.176475539,0.456003281
11,28,121.75,20.49667,3.922522,0.1178,0.5,29.83,7.035,22.413,0.158461385,0.241656705
11,27.75,121.75,21.38732,2.755345,0.1503,0.5,32.922,7.123,22.6,0.100084169,0.383013989
11,27.75,121.25,19.78634,6.9744773,0.1306,0.5,28.462,7.459,20.508,0.001282593,0.049542483
11,27.5,121.5,21.32833,2.3325222,0.1783,0.5,31.497,7.048,22.192,0.101275216,0.166397124
11,27.25,120.75,19.99334,6.9232693,0.1661,0.5,30.6695,7.229,22.1345,0.006644775,0.021594534
11,27.25,121,20.631,3.4043603,0.1478,0.5,29.842,7.41,22.077,0.163542692,0.067387034
11,27.25,121,20.631,3.4043603,0.1478,0.5,29.842,7.41,22.077,0.163542692,0.067387034
11,27,121,21.4723,2.1135979,0.1404,0.5,30.951,7.282,22.893,0.211309791,0.634743938
11,27,121.25,22.295,1.7456057,0.1524,0.5,32.332,6.893,23.575,0.241796349,0.775334993
11,27.5,121.75,22.1533,1.9655381,0.172,0.5,31.6415,7.0875,23.234,0.175878501,0.848098833
11,27.25,121.5,22.28832,2.020077,0.1718,0.5,30.3965,30.3965,22.485,0.997315432,0.721800143
11,27,121.5,22.65667,1.2721264,0.1734,0.5,30.74175,7.24875,22.6555,0.214878992,1
