,Lat,Lon,SST,Chla,SSH,SOI,SSS,DO,BT,QPS,EPS
403,29.75,122.75,15.418,3.183325,-0.0487,0.7,30.4515,8.159,18.4835,0.2071654493683626,0.09374139172517129
404,29.5,122.75,15.54965,2.484332,-0.066,0.7,31.858,8.76,18.63,0.28282278275534023,0.1362584906209243
405,29.0,122.75,17.31332,1.7328486,-0.0898,0.7,30.917,9.9625,17.676,0.413439345285206,0.22081037831949651
406,28.75,122.75,18.02566,2.5019765,-0.0646,0.7,29.5375,9.608,18.1195,0.3442995617377833,0.17428055883318458
407,28.5,122.75,19.24398,2.019447,-0.042,0.7,33.415,7.965,19.429,0.5640560851395371,0.881490618446111
408,31.0,123.0,15.30633,2.9423149,-0.0978,0.7,31.0,9.659,16.928,0.5198096115373524,0.07525099203638246
409,30.75,123.0,15.346,2.4707937,-0.0968,0.7,32.516,7.199,17.952,0.681915746214055,0.18153218940344465
410,30.5,123.0,15.342,2.671793,-0.0733,0.7,28.637,8.95,17.815,0.25684565134646276,0.045709747088204675
411,30.25,123.0,15.452,3.69669,-0.0656,0.7,30.301,9.555,17.828,0.25017143326757685,0.03989726131659072
412,30.0,123.0,15.73766,1.605958,-0.0637,0.7,30.438,10.266,18.424,0.4380692259268316,0.23810236111170988
413,29.75,123.0,15.92233,3.6324685,-0.0696,0.7,31.7285,8.365,17.5025,0.3453992107131867,0.09002385905771143
414,29.5,123.0,16.40234,2.6524742,-0.0807,0.7,30.621,9.543,17.4405,0.394682079621395,0.14025272237985603
415,29.25,123.0,17.11932,1.7320017,-0.0866,0.7,30.699,8.948,17.28,0.32440098370020265,0.05948748845541279
416,29.0,123.0,18.29165,1.3942021,-0.0733,0.7,30.79,9.949,17.667,0.49875388372106066,0.2092667414272079
417,31.0,123.25,15.341,4.387188,-0.066,0.7,30.941,9.531,17.053,0.6891788022534434,0.04209720154106585
418,30.75,123.25,15.57598,4.018785,-0.0495,0.7,30.96,10.355,17.894,0.6027874767552741,0.07028361452361222
419,30.5,123.25,15.766,4.084635,-0.0552,0.7,29.083,11.385,18.485,0.4463371968846719,0.14352548375261331
420,30.25,123.25,15.97866,3.2270083,-0.0607,0.7,31.618,9.197,18.264,0.8036461864371819,0.13539450234710954
421,30.0,123.25,16.33898,1.3241391,-0.0597,0.7,31.448,9.769,18.794,0.9494351981942754,0.2252878711282449
422,29.75,123.25,16.57333,1.3121084,-0.0562,0.7,32.1305,9.6065,17.657,0.3718244856653554,0.13115068769574198
423,30.75,123.5,15.65267,3.5891218,-0.0153,0.7,32.813,9.444,16.52,0.9566386326687693,0.09131588281243196
424,30.5,123.5,15.834,2.8734024,-0.0426,0.7,31.576,9.584,18.159,1.0,0.10913920122388582
425,30.25,123.5,16.17266,2.9842644,-0.0586,0.7,31.78,9.137,17.943,0.593602995318728,0.08448941168025056
426,30.5,123.75,15.65267,2.3546388,-0.0163,0.7,31.694,9.581,17.129,0.8464901117964885,0.0628091949593006
